Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.003	0.000	0.000	0.003	0.003	0.003
    1 --     2	0.004	0.000	0.001	0.003	0.004	0.004
    2 --     3	0.004	0.000	0.001	0.004	0.004	0.005
    3 --     4	0.003	0.000	0.000	0.003	0.003	0.004
    4 --     5	0.004	0.000	0.001	0.003	0.004	0.004
    5 --     6	0.004	0.001	0.001	0.003	0.004	0.004
    6 --     7	0.004	0.000	0.000	0.004	0.004	0.004
    7 --     8	0.004	0.001	0.001	0.003	0.004	0.005
    8 --     9	0.003	0.001	0.001	0.003	0.003	0.005
    9 --    10	0.003	0.000	0.001	0.003	0.003	0.004
   10 --    11	0.004	0.001	0.001	0.004	0.004	0.005
   11 --    12	0.003	0.001	0.001	0.002	0.003	0.004
   12 --    13	0.004	0.001	0.001	0.003	0.004	0.004
   13 --    14	0.004	0.000	0.000	0.004	0.004	0.005
   14 --    15	0.004	0.000	0.000	0.004	0.004	0.004
   15 --    16	0.004	0.000	0.001	0.003	0.004	0.005
   16 --    17	0.003	0.000	0.000	0.003	0.003	0.004
   17 --    18	0.003	0.001	0.001	0.003	0.003	0.004
   18 --    19	0.004	0.000	0.000	0.003	0.004	0.004
   19 --    20	0.004	0.001	0.001	0.003	0.004	0.005
   20 --    21	0.003	0.000	0.000	0.003	0.003	0.004
   21 --    22	0.004	0.000	0.001	0.003	0.004	0.004
   22 --    23	0.004	0.001	0.001	0.003	0.004	0.004
   23 --    24	0.004	0.000	0.000	0.004	0.004	0.004
   24 --    25	0.004	0.000	0.000	0.003	0.004	0.004
   25 --    26	0.004	0.001	0.001	0.004	0.004	0.005
   26 --    27	0.003	0.000	0.001	0.003	0.003	0.004
   27 --    28	0.004	0.000	0.001	0.003	0.004	0.004
   28 --    29	0.004	0.000	0.001	0.003	0.004	0.004
   29 --    30	0.003	0.000	0.000	0.003	0.003	0.004
   30 --    31	0.004	0.001	0.001	0.003	0.004	0.004
   31 --    32	0.005	0.001	0.002	0.004	0.005	0.006
   32 --    33	0.004	0.000	0.000	0.004	0.004	0.004
   33 --    34	0.004	0.000	0.001	0.003	0.004	0.004
   34 --    35	0.004	0.001	0.001	0.003	0.004	0.005
   35 --    36	0.004	0.000	0.001	0.003	0.003	0.004
   36 --    37	0.004	0.001	0.002	0.003	0.004	0.005
   37 --    38	0.004	0.001	0.001	0.003	0.005	0.005
   38 --    39	0.003	0.000	0.000	0.003	0.003	0.004
   39 --    40	0.004	0.001	0.002	0.003	0.004	0.005
   40 --    41	0.004	0.000	0.001	0.004	0.004	0.005
   41 --    42	0.004	0.001	0.001	0.002	0.004	0.004
   42 --    43	0.004	0.000	0.001	0.003	0.004	0.004
   43 --    44	0.004	0.000	0.001	0.004	0.004	0.005
   44 --    45	0.004	0.001	0.001	0.003	0.004	0.005
   45 --    46	0.004	0.000	0.001	0.003	0.004	0.004
   46 --    47	0.004	0.000	0.000	0.004	0.004	0.004
   47 --    48	0.004	0.000	0.001	0.003	0.003	0.005
   48 --    49	0.004	0.000	0.001	0.004	0.004	0.005
   49 --    50	0.005	0.000	0.001	0.004	0.005	0.005
   50 --    51	0.005	0.001	0.002	0.004	0.005	0.006
   51 --    52	0.004	0.001	0.001	0.003	0.004	0.004
   52 --    53	0.004	0.001	0.001	0.004	0.004	0.005
   53 --    54	0.004	0.001	0.001	0.003	0.003	0.005
   54 --    55	0.004	0.001	0.001	0.003	0.004	0.004
   55 --    56	0.004	0.000	0.001	0.003	0.003	0.004
   56 --    57	0.005	0.002	0.003	0.003	0.006	0.007
   57 --    58	0.004	0.001	0.001	0.003	0.005	0.005
   58 --    59	0.004	0.001	0.001	0.003	0.004	0.004
   59 --    60	0.004	0.000	0.001	0.004	0.004	0.004
   60 --    61	0.004	0.001	0.001	0.003	0.003	0.005
   61 --    62	0.004	0.001	0.001	0.004	0.004	0.006
   62 --    63	0.004	0.000	0.000	0.004	0.004	0.004
   63 --    64	0.003	0.000	0.000	0.003	0.003	0.003
   64 --    65	0.004	0.000	0.001	0.004	0.004	0.005
   65 --    66	0.004	0.000	0.000	0.003	0.004	0.004
   66 --    67	0.003	0.000	0.000	0.003	0.003	0.004
   67 --    68	0.004	0.000	0.000	0.004	0.004	0.005
   68 --    69	0.003	0.000	0.000	0.003	0.003	0.003
   69 --    70	0.003	0.000	0.001	0.003	0.003	0.004
   70 --    71	0.004	0.000	0.000	0.003	0.004	0.004
   71 --    72	0.003	0.000	0.000	0.003	0.003	0.004
   72 --    73	0.003	0.001	0.001	0.002	0.003	0.004
   73 --    74	0.004	0.001	0.001	0.003	0.003	0.005
   74 --    75	0.004	0.000	0.001	0.003	0.004	0.004
   75 --    76	0.003	0.000	0.000	0.003	0.003	0.003
   76 --    77	0.003	0.000	0.001	0.003	0.003	0.004
   77 --    78	0.003	0.000	0.000	0.003	0.003	0.004
   78 --    79	0.004	0.001	0.001	0.003	0.004	0.005
   79 --    80	0.004	0.000	0.000	0.004	0.004	0.005
   80 --    81	0.004	0.000	0.000	0.004	0.004	0.004
   81 --    82	0.003	0.001	0.001	0.003	0.003	0.004
   82 --    83	0.004	0.000	0.000	0.004	0.004	0.004
   83 --    84	0.004	0.001	0.001	0.003	0.003	0.005
   84 --    85	0.004	0.000	0.000	0.004	0.004	0.004
   85 --    86	0.004	0.000	0.001	0.003	0.004	0.004
   86 --    87	0.003	0.000	0.000	0.003	0.003	0.004
   87 --    88	0.004	0.000	0.001	0.003	0.004	0.004
   88 --    89	0.004	0.001	0.001	0.004	0.004	0.005
   89 --    90	0.004	0.001	0.001	0.003	0.004	0.005
   90 --    91	0.004	0.000	0.000	0.004	0.004	0.004
   91 --    92	0.003	0.000	0.000	0.003	0.003	0.004
   92 --    93	0.004	0.001	0.001	0.003	0.004	0.005
   93 --    94	0.004	0.001	0.001	0.003	0.003	0.005
   94 --    95	0.004	0.001	0.001	0.003	0.004	0.004
   95 --    96	0.004	0.000	0.000	0.004	0.004	0.004
   96 --    97	0.004	0.001	0.001	0.003	0.003	0.004
   97 --    98	0.004	0.001	0.001	0.003	0.003	0.005
   98 --    99	0.003	0.001	0.001	0.003	0.003	0.004
   99 --   100	0.003	0.001	0.001	0.003	0.003	0.005
  100 --   101	0.004	0.000	0.000	0.003	0.003	0.004
  101 --   102	0.004	0.001	0.001	0.003	0.004	0.005
