Interval	Avg	Std	CI=0.95	Min	Median	Max
    0 --     1	0.004	0.002	0.003	0.003	0.004	0.007
    1 --     2	0.005	0.001	0.002	0.004	0.005	0.007
    2 --     3	0.005	0.001	0.002	0.004	0.005	0.006
    3 --     4	0.006	0.002	0.003	0.003	0.005	0.009
    4 --     5	0.005	0.001	0.001	0.003	0.005	0.006
    5 --     6	0.005	0.000	0.001	0.004	0.005	0.006
    6 --     7	0.004	0.000	0.001	0.004	0.004	0.004
    7 --     8	0.004	0.001	0.002	0.003	0.004	0.006
    8 --     9	0.005	0.002	0.003	0.003	0.005	0.008
    9 --    10	0.005	0.001	0.001	0.004	0.005	0.006
   10 --    11	0.005	0.001	0.001	0.004	0.005	0.006
   11 --    12	0.005	0.001	0.001	0.003	0.005	0.006
   12 --    13	0.005	0.001	0.002	0.003	0.004	0.007
   13 --    14	0.005	0.001	0.001	0.004	0.005	0.006
   14 --    15	0.004	0.001	0.002	0.003	0.004	0.007
   15 --    16	0.004	0.001	0.001	0.003	0.004	0.005
   16 --    17	0.005	0.001	0.001	0.004	0.005	0.006
   17 --    18	0.005	0.001	0.002	0.003	0.004	0.006
   18 --    19	0.005	0.001	0.001	0.004	0.005	0.006
   19 --    20	0.005	0.001	0.002	0.003	0.005	0.006
   20 --    21	0.004	0.001	0.001	0.003	0.004	0.005
   21 --    22	0.004	0.001	0.002	0.004	0.004	0.006
   22 --    23	0.005	0.001	0.002	0.003	0.005	0.007
   23 --    24	0.006	0.001	0.002	0.005	0.006	0.008
   24 --    25	0.005	0.001	0.001	0.004	0.005	0.006
   25 --    26	0.006	0.000	0.001	0.005	0.006	0.006
   26 --    27	0.005	0.001	0.002	0.004	0.005	0.007
   27 --    28	0.004	0.001	0.002	0.003	0.004	0.006
   28 --    29	0.005	0.001	0.002	0.003	0.005	0.007
   29 --    30	0.004	0.001	0.001	0.003	0.004	0.005
   30 --    31	0.004	0.001	0.001	0.003	0.004	0.006
   31 --    32	0.005	0.001	0.002	0.003	0.006	0.007
   32 --    33	0.006	0.001	0.002	0.004	0.005	0.008
   33 --    34	0.005	0.001	0.002	0.004	0.005	0.006
   34 --    35	0.004	0.001	0.001	0.003	0.004	0.006
   35 --    36	0.004	0.000	0.001	0.004	0.004	0.005
   36 --    37	0.004	0.001	0.002	0.003	0.004	0.006
   37 --    38	0.004	0.001	0.001	0.003	0.004	0.006
   38 --    39	0.005	0.001	0.002	0.004	0.005	0.007
   39 --    40	0.006	0.001	0.001	0.004	0.006	0.007
   40 --    41	0.006	0.001	0.001	0.005	0.006	0.007
   41 --    42	0.006	0.001	0.001	0.004	0.006	0.007
   42 --    43	0.005	0.001	0.002	0.003	0.005	0.006
   43 --    44	0.005	0.001	0.002	0.003	0.005	0.006
   44 --    45	0.004	0.001	0.001	0.004	0.004	0.005
   45 --    46	0.004	0.000	0.001	0.004	0.004	0.005
   46 --    47	0.004	0.001	0.001	0.003	0.004	0.005
   47 --    48	0.005	0.001	0.002	0.003	0.005	0.007
   48 --    49	0.005	0.001	0.001	0.004	0.005	0.006
   49 --    50	0.005	0.001	0.001	0.004	0.005	0.006
   50 --    51	0.005	0.001	0.002	0.004	0.005	0.006
   51 --    52	0.005	0.001	0.001	0.005	0.005	0.007
   52 --    53	0.006	0.001	0.002	0.005	0.006	0.007
   53 --    54	0.005	0.001	0.001	0.004	0.005	0.006
   54 --    55	0.005	0.001	0.002	0.004	0.004	0.007
   55 --    56	0.004	0.001	0.001	0.004	0.004	0.005
   56 --    57	0.005	0.001	0.002	0.003	0.006	0.006
   57 --    58	0.006	0.001	0.002	0.005	0.005	0.008
   58 --    59	0.006	0.002	0.003	0.003	0.005	0.009
   59 --    60	0.005	0.001	0.002	0.003	0.004	0.007
   60 --    61	0.004	0.001	0.001	0.003	0.005	0.005
   61 --    62	0.005	0.001	0.001	0.004	0.005	0.006
   62 --    63	0.005	0.001	0.001	0.004	0.005	0.006
   63 --    64	0.004	0.001	0.001	0.003	0.004	0.005
   64 --    65	0.004	0.001	0.001	0.004	0.004	0.006
   65 --    66	0.004	0.000	0.000	0.003	0.004	0.004
   66 --    67	0.005	0.001	0.002	0.003	0.005	0.006
   67 --    68	0.006	0.001	0.001	0.005	0.006	0.007
   68 --    69	0.005	0.001	0.001	0.004	0.005	0.006
   69 --    70	0.005	0.001	0.001	0.004	0.005	0.006
   70 --    71	0.004	0.001	0.002	0.003	0.004	0.006
   71 --    72	0.005	0.001	0.002	0.004	0.005	0.007
   72 --    73	0.004	0.002	0.003	0.003	0.003	0.007
   73 --    74	0.005	0.001	0.001	0.004	0.005	0.006
   74 --    75	0.005	0.001	0.001	0.004	0.006	0.006
   75 --    76	0.006	0.001	0.002	0.004	0.005	0.007
   76 --    77	0.006	0.001	0.002	0.004	0.006	0.007
   77 --    78	0.004	0.001	0.002	0.003	0.004	0.006
   78 --    79	0.006	0.001	0.001	0.005	0.006	0.007
   79 --    80	0.006	0.001	0.002	0.004	0.006	0.007
   80 --    81	0.005	0.001	0.001	0.004	0.005	0.006
   81 --    82	0.006	0.001	0.001	0.005	0.006	0.007
   82 --    83	0.006	0.001	0.001	0.006	0.006	0.008
   83 --    84	0.006	0.001	0.002	0.004	0.006	0.007
   84 --    85	0.006	0.001	0.002	0.004	0.006	0.007
   85 --    86	0.006	0.002	0.002	0.004	0.005	0.008
   86 --    87	0.005	0.001	0.002	0.003	0.005	0.007
   87 --    88	0.005	0.002	0.003	0.003	0.005	0.007
   88 --    89	0.005	0.001	0.002	0.003	0.005	0.007
   89 --    90	0.005	0.001	0.001	0.003	0.005	0.006
   90 --    91	0.005	0.002	0.003	0.003	0.005	0.007
   91 --    92	0.005	0.001	0.002	0.003	0.005	0.006
   92 --    93	0.005	0.001	0.002	0.003	0.005	0.006
   93 --    94	0.005	0.001	0.002	0.004	0.005	0.007
   94 --    95	0.004	0.001	0.001	0.004	0.004	0.005
   95 --    96	0.004	0.001	0.002	0.003	0.004	0.006
   96 --    97	0.004	0.001	0.002	0.003	0.004	0.006
   97 --    98	0.006	0.002	0.003	0.003	0.006	0.008
   98 --    99	0.005	0.001	0.001	0.005	0.005	0.006
   99 --   100	0.007	0.001	0.002	0.005	0.007	0.008
  100 --   101	0.005	0.001	0.001	0.004	0.005	0.005
  101 --   102	0.006	0.002	0.004	0.004	0.005	0.010
  102 --   103	0.004	0.001	0.001	0.004	0.004	0.005
  103 --   104	0.005	0.001	0.001	0.003	0.005	0.006
  104 --   105	0.005	0.001	0.001	0.004	0.005	0.006
  105 --   106	0.005	0.002	0.002	0.003	0.005	0.008
  106 --   107	0.005	0.001	0.002	0.003	0.006	0.006
  107 --   108	0.005	0.001	0.002	0.003	0.005	0.007
  108 --   109	0.005	0.000	0.001	0.005	0.005	0.006
  109 --   110	0.005	0.001	0.002	0.004	0.005	0.007
  110 --   111	0.006	0.001	0.002	0.005	0.007	0.008
  111 --   112	0.006	0.001	0.001	0.005	0.006	0.006
  112 --   113	0.006	0.001	0.001	0.004	0.006	0.007
  113 --   114	0.005	0.001	0.002	0.004	0.005	0.006
  114 --   115	0.004	0.001	0.001	0.003	0.004	0.005
  115 --   116	0.005	0.002	0.003	0.003	0.005	0.007
  116 --   117	0.005	0.001	0.001	0.004	0.005	0.005
  117 --   118	0.004	0.001	0.001	0.003	0.004	0.005
  118 --   119	0.005	0.000	0.000	0.005	0.005	0.006
